trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.02, 'e': 0.6674628258413082}",20,0,-11.82772894899102,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
43,False,"{'a': 0.02, 'e': 0.6524374681640519}",25,0,-43.61347107744845,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
44,False,"{'a': 0.02, 'e': 0.6371511441985802}",25,8,-38.02085695385551,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
45,False,"{'a': 0.02, 'e': 0.6216099682706645}",20,0,-72.25165136500597,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
46,False,"{'a': 0.02, 'e': 0.6058201566434629}",20,0,-160.8368787576817,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
47,False,"{'a': 0.02, 'e': 0.5897880250310983}",20,0,-86.24572906873563,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
48,False,"{'a': 0.02, 'e': 0.5735199860724567}",20,0,-61.27985861386172,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
49,False,"{'a': 0.02, 'e': 0.5570225467662173}",30,16,-30.34404026221264,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
50,False,"{'a': 0.02, 'e': 0.5403023058681398}",25,3,-54.110402889975425,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 1}",1
51,False,"{'a': 0.02, 'e': 0.5233659512516496}",20,0,-37.97494906126536,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
52,False,"{'a': 0.02, 'e': 0.5062202572327784}",20,0,-77.6051965891105,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
53,False,"{'a': 0.02, 'e': 0.48887208186052755}",30,4,-17.782191362379685,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 0}",1
54,False,"{'a': 0.02, 'e': 0.47132836417373997}",20,6,-13.245910441599095,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
55,False,"{'a': 0.02, 'e': 0.4535961214255773}",30,12,27.971773547099197,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.02, 'e': 0.43568244627671204}",25,15,3.577147723255984,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.02, 'e': 0.41759450395835795}",25,6,-0.4048452445707098,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.02, 'e': 0.3993395294062732}",30,0,-55.059921394633214,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
59,False,"{'a': 0.02, 'e': 0.3809248243668818}",20,12,5.16625149079291,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.02, 'e': 0.3623577544766736}",25,6,-26.65647421682945,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
61,False,"{'a': 0.02, 'e': 0.34364574631604705}",25,7,-10.566422241368748,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
62,False,"{'a': 0.02, 'e': 0.32479628443877623}",20,5,-49.25069808917239,"{0: 8, 1: 1, 2: 6, 3: 0, 4: 0}",1
63,False,"{'a': 0.02, 'e': 0.3058169083782893}",20,12,12.338659558174559,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.02, 'e': 0.28671520963195546}",30,0,-40.849481211211184,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
65,False,"{'a': 0.02, 'e': 0.26749882862458735}",20,8,-25.47812944408723,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
66,False,"{'a': 0.02, 'e': 0.2481754516523729}",30,20,7.063461993506876,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.02, 'e': 0.22875280780845939}",25,11,0.5884879129071585,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.02, 'e': 0.20923866589141926}",25,16,1.3373771305219349,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.02, 'e': 0.18964083129783424}",20,0,20.56408060840335,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
70,False,"{'a': 0.02, 'e': 0.16996714290024081}",20,5,20.039609132377745,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.02, 'e': 0.15022546991168584}",20,8,22.396461412815253,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
